Frame Time(ps) RMSD(A)
9.100000000000000000e+01 9.100000000000000311e-01 2.079699580746201093e+00
9.200000000000000000e+01 9.200000000000000400e-01 1.603340063166835527e+00
9.300000000000000000e+01 9.300000000000000488e-01 1.850115082939575606e+00
9.400000000000000000e+01 9.400000000000000577e-01 2.113661479042060254e+00
9.500000000000000000e+01 9.500000000000000666e-01 1.908646492893405711e+00
9.600000000000000000e+01 9.599999999999999645e-01 2.063024137976422256e+00
9.700000000000000000e+01 9.699999999999999734e-01 1.769435717954776610e+00
9.800000000000000000e+01 9.799999999999999822e-01 2.024174317926453526e+00
9.900000000000000000e+01 9.899999999999999911e-01 1.884531307044149839e+00
1.000000000000000000e+02 1.000000000000000000e+00 1.903890538530608856e+00
1.010000000000000000e+02 1.010000000000000009e+00 1.640205676961742798e+00
1.020000000000000000e+02 1.020000000000000018e+00 1.891375038002003794e+00
1.030000000000000000e+02 1.030000000000000027e+00 1.817779467870487942e+00
1.040000000000000000e+02 1.040000000000000036e+00 1.776283843680985575e+00
1.050000000000000000e+02 1.050000000000000044e+00 1.922247935463830437e+00
1.060000000000000000e+02 1.060000000000000053e+00 2.036148857878048446e+00
1.070000000000000000e+02 1.070000000000000062e+00 1.899888055381955487e+00
1.080000000000000000e+02 1.080000000000000071e+00 1.835971220475456134e+00
1.090000000000000000e+02 1.090000000000000080e+00 2.001614272277762119e+00
1.100000000000000000e+02 1.100000000000000089e+00 1.971686094911344389e+00
1.110000000000000000e+02 1.110000000000000098e+00 1.863617588450610318e+00
1.120000000000000000e+02 1.120000000000000107e+00 1.836588440485205975e+00
1.130000000000000000e+02 1.130000000000000115e+00 1.816079172237931916e+00
1.140000000000000000e+02 1.140000000000000124e+00 2.007860733735044256e+00
1.150000000000000000e+02 1.150000000000000133e+00 2.023445610771352765e+00
1.160000000000000000e+02 1.159999999999999920e+00 1.837596376516702268e+00
1.170000000000000000e+02 1.169999999999999929e+00 2.107181484059365228e+00
1.180000000000000000e+02 1.179999999999999938e+00 1.947305173479873641e+00
1.190000000000000000e+02 1.189999999999999947e+00 1.552178414418656782e+00
1.200000000000000000e+02 1.199999999999999956e+00 1.903525973948253736e+00
1.210000000000000000e+02 1.209999999999999964e+00 2.035255100991104626e+00
1.220000000000000000e+02 1.219999999999999973e+00 1.805232612834897443e+00
1.230000000000000000e+02 1.229999999999999982e+00 1.755001421198122413e+00
1.240000000000000000e+02 1.239999999999999991e+00 1.586644978987317156e+00
1.250000000000000000e+02 1.250000000000000000e+00 1.890171658777600072e+00
1.260000000000000000e+02 1.260000000000000009e+00 1.929278279674982555e+00
1.270000000000000000e+02 1.270000000000000018e+00 2.018090148719421162e+00
1.280000000000000000e+02 1.280000000000000027e+00 1.801359202701724449e+00
1.290000000000000000e+02 1.290000000000000036e+00 1.780696217484185828e+00
1.300000000000000000e+02 1.300000000000000044e+00 1.754689137798971288e+00
1.310000000000000000e+02 1.310000000000000053e+00 1.942831816842936599e+00
1.320000000000000000e+02 1.320000000000000062e+00 1.837674488321438648e+00
1.330000000000000000e+02 1.330000000000000071e+00 1.794052867481801483e+00
1.340000000000000000e+02 1.340000000000000080e+00 1.738556911891481649e+00
1.350000000000000000e+02 1.350000000000000089e+00 1.844494243283534063e+00
1.360000000000000000e+02 1.360000000000000098e+00 1.932595658553324602e+00
1.370000000000000000e+02 1.370000000000000107e+00 2.002692589285602676e+00
1.380000000000000000e+02 1.380000000000000115e+00 1.762937999104360998e+00
1.390000000000000000e+02 1.390000000000000124e+00 1.894587553214906794e+00
1.400000000000000000e+02 1.400000000000000133e+00 1.886629652874281859e+00
1.410000000000000000e+02 1.409999999999999920e+00 1.752931176398971669e+00
1.420000000000000000e+02 1.419999999999999929e+00 1.931284099075801564e+00
1.430000000000000000e+02 1.429999999999999938e+00 1.957581255116281449e+00
1.440000000000000000e+02 1.439999999999999947e+00 1.844535205468752270e+00
1.450000000000000000e+02 1.449999999999999956e+00 1.715248647598114129e+00
1.460000000000000000e+02 1.459999999999999964e+00 2.105985046885955114e+00
1.470000000000000000e+02 1.469999999999999973e+00 1.813951602185059020e+00
1.480000000000000000e+02 1.479999999999999982e+00 1.758363701614273689e+00
1.490000000000000000e+02 1.489999999999999991e+00 2.053013110656136675e+00
1.500000000000000000e+02 1.500000000000000000e+00 1.884848843826511855e+00
1.510000000000000000e+02 1.510000000000000009e+00 1.884358427825330473e+00
1.520000000000000000e+02 1.520000000000000018e+00 1.958549562985530290e+00
1.530000000000000000e+02 1.530000000000000027e+00 2.129620754409581096e+00
1.540000000000000000e+02 1.540000000000000036e+00 1.828396190597533222e+00
1.550000000000000000e+02 1.550000000000000044e+00 1.698222896191569520e+00
1.560000000000000000e+02 1.560000000000000053e+00 2.013622442317119621e+00
1.570000000000000000e+02 1.570000000000000062e+00 1.961514067007896323e+00
1.580000000000000000e+02 1.580000000000000071e+00 1.874206864152874852e+00
1.590000000000000000e+02 1.590000000000000080e+00 1.751458465051394464e+00
1.600000000000000000e+02 1.600000000000000089e+00 1.763692086675529902e+00
1.610000000000000000e+02 1.610000000000000098e+00 2.143357457639487595e+00
1.620000000000000000e+02 1.620000000000000107e+00 1.892974811094220167e+00
1.630000000000000000e+02 1.630000000000000115e+00 1.658809201055678084e+00
1.640000000000000000e+02 1.640000000000000124e+00 1.738285746833523771e+00
1.650000000000000000e+02 1.650000000000000133e+00 1.883630995282654652e+00
1.660000000000000000e+02 1.660000000000000142e+00 1.869434882457235991e+00
1.670000000000000000e+02 1.669999999999999929e+00 2.129283101001122613e+00
1.680000000000000000e+02 1.679999999999999938e+00 1.967114709863958089e+00
1.690000000000000000e+02 1.689999999999999947e+00 1.853856811106978419e+00
1.700000000000000000e+02 1.699999999999999956e+00 1.959609072495664073e+00
1.710000000000000000e+02 1.709999999999999964e+00 1.829371748297726086e+00
1.720000000000000000e+02 1.719999999999999973e+00 1.813203296238959039e+00
1.730000000000000000e+02 1.729999999999999982e+00 1.865435188496141095e+00
1.740000000000000000e+02 1.739999999999999991e+00 1.729311784475168423e+00
1.750000000000000000e+02 1.750000000000000000e+00 1.940193791588773031e+00
1.760000000000000000e+02 1.760000000000000009e+00 1.902709954053429131e+00
1.770000000000000000e+02 1.770000000000000018e+00 2.024378757980669352e+00
1.780000000000000000e+02 1.780000000000000027e+00 1.769123484778007738e+00
1.790000000000000000e+02 1.790000000000000036e+00 1.684314387974288785e+00
1.800000000000000000e+02 1.800000000000000044e+00 1.857599432325083733e+00
1.810000000000000000e+02 1.810000000000000053e+00 1.989699795102670254e+00
1.820000000000000000e+02 1.820000000000000062e+00 2.142244120944337915e+00
1.830000000000000000e+02 1.830000000000000071e+00 2.009371264529469236e+00
1.840000000000000000e+02 1.840000000000000080e+00 1.939557957246005326e+00
1.850000000000000000e+02 1.850000000000000089e+00 1.950106054342521045e+00
1.860000000000000000e+02 1.860000000000000098e+00 1.627026967516995271e+00
1.870000000000000000e+02 1.870000000000000107e+00 1.775391262239144119e+00
1.880000000000000000e+02 1.880000000000000115e+00 1.959467414245420258e+00
1.890000000000000000e+02 1.890000000000000124e+00 1.809789793965932869e+00
1.900000000000000000e+02 1.900000000000000133e+00 1.971952487173567858e+00
1.910000000000000000e+02 1.910000000000000142e+00 2.137870011930360636e+00
1.920000000000000000e+02 1.919999999999999929e+00 1.863748092013978619e+00
1.930000000000000000e+02 1.929999999999999938e+00 1.776969312382072230e+00
1.940000000000000000e+02 1.939999999999999947e+00 1.674296332997509129e+00
1.950000000000000000e+02 1.949999999999999956e+00 2.379702846372288239e+00
1.960000000000000000e+02 1.959999999999999964e+00 1.834142685523611593e+00
1.970000000000000000e+02 1.969999999999999973e+00 1.877508490432638233e+00
1.980000000000000000e+02 1.979999999999999982e+00 1.932052770435878308e+00
1.990000000000000000e+02 1.989999999999999991e+00 1.916186238398728259e+00
2.000000000000000000e+02 2.000000000000000000e+00 1.654673757105234344e+00
2.010000000000000000e+02 2.010000000000000231e+00 1.521479961398648495e+00
2.020000000000000000e+02 2.020000000000000018e+00 2.073487954693375990e+00
2.030000000000000000e+02 2.030000000000000249e+00 1.991846655042626812e+00
2.040000000000000000e+02 2.040000000000000036e+00 1.742614545655843727e+00
2.050000000000000000e+02 2.049999999999999822e+00 1.780503152031878589e+00
2.060000000000000000e+02 2.060000000000000053e+00 1.948356663743639139e+00
2.070000000000000000e+02 2.069999999999999840e+00 1.983190414382690170e+00
2.080000000000000000e+02 2.080000000000000071e+00 1.902194154698730877e+00
2.090000000000000000e+02 2.089999999999999858e+00 1.750381109713919470e+00
2.100000000000000000e+02 2.100000000000000089e+00 1.959099305589404150e+00
2.110000000000000000e+02 2.109999999999999876e+00 1.883586464106792979e+00
2.120000000000000000e+02 2.120000000000000107e+00 1.861607966334103414e+00
2.130000000000000000e+02 2.129999999999999893e+00 1.880485963928444804e+00
2.140000000000000000e+02 2.140000000000000124e+00 1.788089624465773797e+00
2.150000000000000000e+02 2.149999999999999911e+00 2.110438342563271785e+00
2.160000000000000000e+02 2.160000000000000142e+00 1.900355053348941725e+00
2.170000000000000000e+02 2.169999999999999929e+00 2.034536975320584862e+00
2.180000000000000000e+02 2.180000000000000160e+00 1.875965455865392650e+00
2.190000000000000000e+02 2.189999999999999947e+00 1.780359638496631369e+00
2.200000000000000000e+02 2.200000000000000178e+00 1.806928293789109130e+00
2.210000000000000000e+02 2.209999999999999964e+00 1.733971884872575586e+00
2.220000000000000000e+02 2.220000000000000195e+00 1.613097782605042774e+00
2.230000000000000000e+02 2.229999999999999982e+00 2.121468745056192873e+00
2.240000000000000000e+02 2.240000000000000213e+00 2.000993497011730238e+00
2.250000000000000000e+02 2.250000000000000000e+00 2.042481114065686665e+00
2.260000000000000000e+02 2.260000000000000231e+00 1.848067105625874840e+00
2.270000000000000000e+02 2.270000000000000018e+00 1.828806120038327876e+00
2.280000000000000000e+02 2.280000000000000249e+00 1.919990877823634312e+00
2.290000000000000000e+02 2.290000000000000036e+00 1.755564060157585482e+00
2.300000000000000000e+02 2.300000000000000266e+00 1.793268768572759075e+00
2.310000000000000000e+02 2.310000000000000053e+00 1.907644890903842816e+00
2.320000000000000000e+02 2.319999999999999840e+00 1.999574968874148428e+00
2.330000000000000000e+02 2.330000000000000071e+00 2.069702743994209726e+00
2.340000000000000000e+02 2.339999999999999858e+00 1.768241485534805424e+00
2.350000000000000000e+02 2.350000000000000089e+00 1.956572535639787835e+00
2.360000000000000000e+02 2.359999999999999876e+00 1.956650516312209653e+00
2.370000000000000000e+02 2.370000000000000107e+00 1.733468255935326274e+00
2.380000000000000000e+02 2.379999999999999893e+00 1.769458969874012411e+00
2.390000000000000000e+02 2.390000000000000124e+00 1.977080371484619903e+00
2.400000000000000000e+02 2.399999999999999911e+00 2.025566412549587803e+00
2.410000000000000000e+02 2.410000000000000142e+00 2.036571557875999527e+00
2.420000000000000000e+02 2.419999999999999929e+00 1.852463237175103083e+00
2.430000000000000000e+02 2.430000000000000160e+00 1.975002994084415597e+00
2.440000000000000000e+02 2.439999999999999947e+00 1.950647619109741937e+00
2.450000000000000000e+02 2.450000000000000178e+00 1.961877155753548374e+00
2.460000000000000000e+02 2.459999999999999964e+00 2.038993413427090839e+00
2.470000000000000000e+02 2.470000000000000195e+00 2.043012361385977194e+00
2.480000000000000000e+02 2.479999999999999982e+00 2.086931243456028096e+00
2.490000000000000000e+02 2.490000000000000213e+00 1.819140033685227476e+00
2.500000000000000000e+02 2.500000000000000000e+00 1.877195778037711094e+00
2.510000000000000000e+02 2.510000000000000231e+00 2.033095142086084994e+00
2.520000000000000000e+02 2.520000000000000018e+00 1.956020667933378254e+00
2.530000000000000000e+02 2.530000000000000249e+00 2.118483867231226725e+00
2.540000000000000000e+02 2.540000000000000036e+00 1.868066074990585523e+00
2.550000000000000000e+02 2.550000000000000266e+00 1.739277884569522481e+00
2.560000000000000000e+02 2.560000000000000053e+00 1.721673177796620324e+00
2.570000000000000000e+02 2.569999999999999840e+00 1.960180056673803684e+00
2.580000000000000000e+02 2.580000000000000071e+00 2.106292674260538345e+00
2.590000000000000000e+02 2.589999999999999858e+00 2.104541970236526893e+00
2.600000000000000000e+02 2.600000000000000089e+00 1.805227152503725785e+00
2.610000000000000000e+02 2.609999999999999876e+00 1.802716339035299598e+00
2.620000000000000000e+02 2.620000000000000107e+00 1.973996353937955028e+00
2.630000000000000000e+02 2.629999999999999893e+00 1.821119235445947782e+00
2.640000000000000000e+02 2.640000000000000124e+00 1.793648034381098766e+00
2.650000000000000000e+02 2.649999999999999911e+00 1.953377396612723693e+00
2.660000000000000000e+02 2.660000000000000142e+00 1.866719314772770755e+00
2.670000000000000000e+02 2.669999999999999929e+00 1.859190626323526940e+00
2.680000000000000000e+02 2.680000000000000160e+00 2.199609223170804650e+00
2.690000000000000000e+02 2.689999999999999947e+00 1.837959369119626096e+00
2.700000000000000000e+02 2.700000000000000178e+00 1.945548522397637203e+00
2.710000000000000000e+02 2.709999999999999964e+00 1.936865053527915714e+00
2.720000000000000000e+02 2.720000000000000195e+00 2.053147944217492249e+00
2.730000000000000000e+02 2.729999999999999982e+00 1.592962010938736128e+00
2.740000000000000000e+02 2.740000000000000213e+00 2.007600951379408194e+00
2.750000000000000000e+02 2.750000000000000000e+00 1.862113862520339724e+00
2.760000000000000000e+02 2.760000000000000231e+00 1.864744152184891757e+00
2.770000000000000000e+02 2.770000000000000018e+00 1.892624687323876786e+00
2.780000000000000000e+02 2.780000000000000249e+00 2.108850718041237471e+00
2.790000000000000000e+02 2.790000000000000036e+00 1.768976723941938056e+00
2.800000000000000000e+02 2.800000000000000266e+00 1.917621820989908965e+00
2.810000000000000000e+02 2.810000000000000053e+00 1.773892739844120880e+00
2.820000000000000000e+02 2.819999999999999840e+00 1.789401245090691983e+00
2.830000000000000000e+02 2.830000000000000071e+00 2.066314206049079338e+00
2.840000000000000000e+02 2.839999999999999858e+00 1.896963169809497307e+00
2.850000000000000000e+02 2.850000000000000089e+00 1.873863128053206317e+00
2.860000000000000000e+02 2.859999999999999876e+00 2.076277160488445794e+00
2.870000000000000000e+02 2.870000000000000107e+00 2.129461046481208264e+00
2.880000000000000000e+02 2.879999999999999893e+00 1.959926732597553123e+00
2.890000000000000000e+02 2.890000000000000124e+00 2.017701794416584260e+00
2.900000000000000000e+02 2.899999999999999911e+00 1.842768492949877102e+00
2.910000000000000000e+02 2.910000000000000142e+00 2.008203420673908557e+00
2.920000000000000000e+02 2.919999999999999929e+00 2.274553108270032542e+00
2.930000000000000000e+02 2.930000000000000160e+00 1.739468404264466139e+00
2.940000000000000000e+02 2.939999999999999947e+00 1.749580666584198418e+00
2.950000000000000000e+02 2.950000000000000178e+00 2.149221717568733592e+00
2.960000000000000000e+02 2.959999999999999964e+00 1.965787636149091355e+00
2.970000000000000000e+02 2.970000000000000195e+00 1.866560880242807974e+00
2.980000000000000000e+02 2.979999999999999982e+00 1.895858419050837185e+00
2.990000000000000000e+02 2.990000000000000213e+00 1.627331890565262951e+00
3.000000000000000000e+02 3.000000000000000000e+00 1.906331839053915678e+00
3.010000000000000000e+02 3.010000000000000231e+00 1.859037707824293451e+00
3.020000000000000000e+02 3.020000000000000018e+00 1.819579607967052981e+00
3.030000000000000000e+02 3.030000000000000249e+00 2.009100750037321692e+00
3.040000000000000000e+02 3.040000000000000036e+00 1.772344868324213341e+00
3.050000000000000000e+02 3.050000000000000266e+00 1.702528209457258690e+00
3.060000000000000000e+02 3.060000000000000053e+00 1.714283699031340147e+00
3.070000000000000000e+02 3.070000000000000284e+00 1.974477245170663808e+00
3.080000000000000000e+02 3.080000000000000071e+00 1.912192163405009637e+00
3.090000000000000000e+02 3.089999999999999858e+00 1.952602560194529380e+00
3.100000000000000000e+02 3.100000000000000089e+00 1.723503679258284960e+00
3.110000000000000000e+02 3.109999999999999876e+00 2.145088387001270469e+00
3.120000000000000000e+02 3.120000000000000107e+00 2.085172813504180489e+00
3.130000000000000000e+02 3.129999999999999893e+00 1.853559182376248060e+00
3.140000000000000000e+02 3.140000000000000124e+00 1.778323347879873007e+00
3.150000000000000000e+02 3.149999999999999911e+00 1.935297838736177445e+00
3.160000000000000000e+02 3.160000000000000142e+00 1.988995110366403862e+00
3.170000000000000000e+02 3.169999999999999929e+00 1.856834848735661625e+00
3.180000000000000000e+02 3.180000000000000160e+00 2.082221420284748437e+00
3.190000000000000000e+02 3.189999999999999947e+00 2.191256401423824940e+00
3.200000000000000000e+02 3.200000000000000178e+00 2.150898840882309315e+00
3.210000000000000000e+02 3.209999999999999964e+00 1.880633542557194504e+00
3.220000000000000000e+02 3.220000000000000195e+00 1.961009692971574347e+00
3.230000000000000000e+02 3.229999999999999982e+00 1.897644464263141595e+00
3.240000000000000000e+02 3.240000000000000213e+00 1.845448600117579607e+00
3.250000000000000000e+02 3.250000000000000000e+00 2.067799038461560102e+00
3.260000000000000000e+02 3.260000000000000231e+00 2.299574999865063862e+00
3.270000000000000000e+02 3.270000000000000018e+00 1.835451559709456948e+00
3.280000000000000000e+02 3.280000000000000249e+00 1.955321248284960456e+00
3.290000000000000000e+02 3.290000000000000036e+00 1.891128427644684917e+00
3.300000000000000000e+02 3.300000000000000266e+00 1.974753430577382396e+00
3.310000000000000000e+02 3.310000000000000053e+00 1.843577031091282681e+00
3.320000000000000000e+02 3.320000000000000284e+00 1.789790347076997357e+00
3.330000000000000000e+02 3.330000000000000071e+00 1.745138469913875223e+00
3.340000000000000000e+02 3.339999999999999858e+00 1.785682889500969317e+00
3.350000000000000000e+02 3.350000000000000089e+00 1.952304768261490020e+00
3.360000000000000000e+02 3.359999999999999876e+00 2.023399802492278354e+00
3.370000000000000000e+02 3.370000000000000107e+00 2.066055720300278065e+00
3.380000000000000000e+02 3.379999999999999893e+00 1.845878186374559027e+00
3.390000000000000000e+02 3.390000000000000124e+00 1.838453420704552865e+00
3.400000000000000000e+02 3.399999999999999911e+00 1.942489257502887590e+00
3.410000000000000000e+02 3.410000000000000142e+00 2.246769371808885030e+00
3.420000000000000000e+02 3.419999999999999929e+00 2.035646618486541382e+00
3.430000000000000000e+02 3.430000000000000160e+00 1.679694436324757678e+00
3.440000000000000000e+02 3.439999999999999947e+00 2.228836437699609263e+00
3.450000000000000000e+02 3.450000000000000178e+00 2.100173567561229415e+00
3.460000000000000000e+02 3.459999999999999964e+00 2.137964268670029977e+00
3.470000000000000000e+02 3.470000000000000195e+00 2.174369143174780916e+00
3.480000000000000000e+02 3.479999999999999982e+00 2.229947780407127045e+00
3.490000000000000000e+02 3.490000000000000213e+00 1.735808582552761381e+00
3.500000000000000000e+02 3.500000000000000000e+00 1.681027618953544689e+00
3.510000000000000000e+02 3.510000000000000231e+00 2.101710408358750115e+00
3.520000000000000000e+02 3.520000000000000018e+00 1.908215283828037734e+00
3.530000000000000000e+02 3.530000000000000249e+00 2.094677366074005676e+00
3.540000000000000000e+02 3.540000000000000036e+00 1.822494854814788567e+00
3.550000000000000000e+02 3.550000000000000266e+00 2.170298771735249765e+00
3.560000000000000000e+02 3.560000000000000053e+00 2.094598855382717950e+00
3.570000000000000000e+02 3.570000000000000284e+00 1.878369301127983171e+00
3.580000000000000000e+02 3.580000000000000071e+00 1.978208492955592535e+00
3.590000000000000000e+02 3.589999999999999858e+00 1.832636021953320205e+00
3.600000000000000000e+02 3.600000000000000089e+00 2.126315473256468636e+00
3.610000000000000000e+02 3.609999999999999876e+00 1.742337530775915022e+00
3.620000000000000000e+02 3.620000000000000107e+00 2.091581831469609298e+00
3.630000000000000000e+02 3.629999999999999893e+00 2.051412865300405564e+00
3.640000000000000000e+02 3.640000000000000124e+00 2.175898215602075414e+00
3.650000000000000000e+02 3.649999999999999911e+00 1.712537536417246153e+00
3.660000000000000000e+02 3.660000000000000142e+00 1.612879885605164043e+00
3.670000000000000000e+02 3.669999999999999929e+00 1.785073525738577915e+00
3.680000000000000000e+02 3.680000000000000160e+00 2.061673960537124373e+00
3.690000000000000000e+02 3.689999999999999947e+00 1.979417108926406987e+00
3.700000000000000000e+02 3.700000000000000178e+00 2.079522574633168475e+00
3.710000000000000000e+02 3.709999999999999964e+00 1.852445491825025492e+00
3.720000000000000000e+02 3.720000000000000195e+00 1.814932224284728779e+00
3.730000000000000000e+02 3.729999999999999982e+00 2.032144175288513210e+00
3.740000000000000000e+02 3.740000000000000213e+00 2.136145494998656691e+00
3.750000000000000000e+02 3.750000000000000000e+00 2.084406810020351219e+00
3.760000000000000000e+02 3.760000000000000231e+00 1.983948718808100198e+00
3.770000000000000000e+02 3.770000000000000018e+00 1.812933930817833605e+00
3.780000000000000000e+02 3.780000000000000249e+00 2.092062120965799910e+00
3.790000000000000000e+02 3.790000000000000036e+00 2.211471857715548328e+00
3.800000000000000000e+02 3.800000000000000266e+00 2.182479837814407020e+00
3.810000000000000000e+02 3.810000000000000053e+00 1.909853877190258231e+00
3.820000000000000000e+02 3.820000000000000284e+00 1.905298966490403423e+00
3.830000000000000000e+02 3.830000000000000071e+00 2.008528046481129259e+00
3.840000000000000000e+02 3.839999999999999858e+00 2.055974034807508399e+00
3.850000000000000000e+02 3.850000000000000089e+00 1.933351236763615422e+00
3.860000000000000000e+02 3.859999999999999876e+00 2.092103284067201585e+00
